"","V1","V2","V3","V4","V5","V6"
"CMG",0.0745835883059454,29.9164082801866,-29.9999912204626,-0.0341725323952377,0.0979044866091381,4.99999999999603
"CMI",0.0746389500242658,26.5037796502808,-26.7148337020398,-0.0347245497906147,0.0349154292726984,4.99999999999678
"CMS",0.0746386474937367,11.1880667383619,-11.4318837454972,-0.0347232127162724,0.0302227858986719,4.99999999997826
"CNC",0.0746393009785497,29.0960352297307,-29.282472372688,-0.0347259882010076,0.0395277452768975,4.99999999980503
"CNP",0.0745822897131426,29.6359053259635,-29.7194119941682,-0.0341661863733664,0.0980094703772809,4.99999996727951
"COF",0.0745827423336825,29.916188594394,-29.9997739769462,-0.0341681126726772,0.0979143385867233,4.99999999999972
"COG",0.0746397466935909,29.3858203809163,-29.5749520056461,-0.0347280615550553,0.038965181582793,4.99999999996925
"COH",0.0746388819879481,26.9391524162632,-27.1537426722529,-0.0347241248741851,0.0343409073235702,4.99999999998695
"COL",0.0745823277078532,29.9163811948117,-29.9999667125218,-0.0341660417813357,0.097917654108676,4.99999999998148
"COO",0.0746393859314716,29.3177609565787,-29.454097187949,-0.0347272541226976,0.0540422578253099,4.99999944176425
"COP",0.0746396023139856,16.321172321573,-16.5915640886255,-0.0347275040381683,0.0272542727414234,4.99999999997437
"COST",0.0745825204943857,29.9163582415382,-29.9999414099483,-0.0341672014674428,0.0979132898385103,4.99999999998943
"COTY",0.0745833250420825,29.916364205979,-29.9999502691683,-0.0341709504632363,0.0979103624172171,4.99999999999845
"CPB",0.0746388778539838,29.4575734309471,-29.6619147875082,-0.0347243553695899,0.0360610964693364,4.99999999997345
"CRM",0.0746390131562625,10.3833720820937,-10.6396427342636,-0.0347247920762982,0.0287552557401163,4.99999999998945
"CSCO",0.0746388787490452,6.63664757586963,-6.93467956037366,-0.0347243212896047,0.0247249636061224,4.99999999999032
"CSRA",0.0746393948759007,24.7226623241751,-24.8595335931338,-0.0347275356858633,0.053828318302684,4.99999928114446
"CSX",0.074638910338672,2.13933558909413,-2.39451612625861,-0.0347241846372616,0.0288790591084367,4.99999999999349
"CTAS",0.0745822946694377,29.9163887406368,-29.9999738986324,-0.0341658838498669,0.0979180435679847,4.99999999995978
"CTL",0.074639417810922,19.0709077946805,-19.4183722309233,-0.0347268152221619,0.0212078216143823,4.99999999998948
"CTSH",0.0745827308190276,29.9162977644112,-29.9998831754836,-0.034168035491161,0.097914562971628,4.99999999998875
"CTXS",0.0746394489615796,22.7675786077508,-23.0724586366336,-0.0347266274614171,0.0241721466651517,4.99999999997904
"CVS",0.0745828736846207,29.9162617672822,-29.9998436565642,-0.0341690786544466,0.0979087014412461,4.99999999998651
"CVX",0.0745825068337369,29.9163119302439,-29.9998975416053,-0.0341669210051741,0.0979164471952296,4.99999999995854
"CXO",0.0746396024695194,14.9498754260236,-15.1981619890605,-0.03472740248335,0.0296814546350613,4.99999999999104
"D",0.0746388288842461,11.7938362611948,-12.0280792610615,-0.0347241475754523,0.0314575395513405,4.99999999999988
